time,station_id,grid,combination,HFB(HBV),HFB(RECAL_HBV),HFB(HYMOD),HFB(LSTM),RMSE(PRECIP)
historical,01108000,1,0,52.53298388529607,46.56823287119331,47.22503280246037,53.27494926358164,5.115133578738987
historical,01108000,1,1,-13.233425894800236,0.01668275161968481,-4.3862290558480135,4.906647492624139,7.33533630387206
historical,01108000,1,2,6.347203094984083,13.020887639165426,16.469879709019448,21.289943720737412,7.09058452310775
historical,01108000,1,3,-6.512946232325666,0.9685171452809123,3.178814907373194,11.56473366404108,6.105341352890715
historical,01108000,1,4,-2.273441976972795,4.425266694638079,5.558025529614804,11.226907943742424,7.185634068325464
historical,01108000,1,5,-1.2626340563359855,3.6416778510614,0.13646490824903731,7.447430564302413,5.099425500498553
historical,01108000,1,6,-4.154589049608662,8.065693339328002,8.123082004899725,2.614437420079192,5.139083368873839
historical,01108000,1,7,-10.785732577159813,-1.504617368579541,0.6757348543554079,-2.053396483109133,4.297688842479287
historical,01108000,1,8,11.74782686306714,12.699494429212166,12.576542549775077,15.59028162987147,4.673461547991804
historical,01108000,1,9,25.18453208635326,24.79165328570964,24.280827431114833,24.04676842589063,4.999707304142078
historical,01108000,2,0,-11.114215956551444,-4.01920852021491,-3.209427756595317,-6.025559643756523,3.328653852066606
historical,01108000,2,1,7.372358182013823,8.886151063984194,9.585158356849062,8.09889201505118,3.2820936108106125
historical,01108000,2,2,6.346118716128803,5.639020288728382,6.919921958087925,8.957219585884056,2.778238476989118
historical,01108000,2,3,-2.810709992884804,1.4077739954272588,6.968301937785015,9.015609216552958,5.700454804103155
historical,01108000,2,4,10.619488957269631,8.239611024963233,10.525314824376505,10.090812558441767,3.3335258574932243
historical,01108000,2,5,-2.0619046864351698,5.985938108659765,5.181829480590868,-1.3602281533111487,3.9667043480424704
historical,01108000,2,6,-8.37707689830945,0.5700496228446933,-4.7202177432741435,-0.741298068220777,4.419219103738416
historical,01108000,2,7,10.489029839603683,12.696324706404424,12.434572333491541,8.629403516557216,3.8819386312233917
historical,01108000,2,8,27.58501321690997,26.876496755621883,21.97468726096745,18.487241448630055,3.6726996791341
historical,01108000,2,9,1.5989583289888638,2.59917270234718,5.6113269210397,1.9796587209501164,3.1132318599022826
historical,01108000,3,0,-0.09592582181319989,3.573361983178779,3.255388737307552,9.135725028214702,4.509685061511829
historical,01108000,3,1,21.339408079289782,21.392459229440387,19.916786434921,16.315147187746852,2.7686759970403085
historical,01108000,3,2,14.619262071847603,13.071186135298785,15.083626463181584,7.846982465593913,3.093516487725875
historical,01108000,3,3,0.14322142265501098,2.243162782783068,4.121140132611193,4.737317563684317,2.332314244994832
historical,01108000,3,4,1.2470356835715732,4.130899542308711,3.8677291355081516,3.185821663053459,3.5326581273712323
historical,01108000,3,5,14.896112334976308,11.302063739789112,8.91284346657569,10.669704039644893,2.8178354262140575
historical,01108000,3,6,11.594345548166023,7.755978055508521,12.22578769697116,12.831788649556284,2.5555180693096484
historical,01108000,3,7,-3.640843713480415,-2.250503193495729,-0.7989369750667927,-9.254506219746872,1.6926321174371572
historical,01108000,3,8,5.987689797579835,6.0928745465419585,6.472323732131728,7.7744124960482734,2.5102797833269714
historical,01108000,3,9,16.536777543014388,13.352207086332408,8.894992922342626,16.102442104595845,2.512129287535257
historical,01108000,4,0,5.087905588972036,4.365709271355798,5.042194849534093,4.683098620920336,2.844863014660785
historical,01108000,4,1,-4.974713119232459,-2.759911014202859,-1.2950820082362746,-10.238788565308383,1.0104152758076512
historical,01108000,4,2,-2.0773362316833794,-0.029111401576353516,0.13554735690995373,-5.445834024972409,2.076981314734117
historical,01108000,4,3,3.4777698163979758,3.314362264283149,4.909650387915682,6.121151810537326,2.773647212585385
historical,01108000,4,4,-3.0702101943290323,-1.7325871694625596,5.919624170971509,-6.561075970748466,2.8208409415236146
historical,01108000,4,5,6.284976431442652,6.167029377491466,8.901999678022893,3.976584089826607,3.411842862516496
historical,01108000,4,6,-1.9935888185525548,1.2808182556014447,0.7433834121732367,1.2239300725783122,2.2271083322148195
historical,01108000,4,7,2.7663338735764382,1.9357830841903407,4.13089954230871,1.7394270976266286,3.259357813258131
historical,01108000,4,8,8.403769300900953,7.786757732246841,2.3904714795848983,9.331747359746025,2.739474535877627
historical,01108000,4,9,1.3517199499851076,1.6100523588159592,0.011427684859485391,-1.2701412945648476,2.673231521125029
historical,01108000,5,0,-1.2511229577184018,-0.7024272569469096,2.6432151666231505,-6.969803385430784,1.1544452319815333
historical,01108000,5,1,1.5038666447566553,0.942492052754198,1.082460338843369,-3.950225342267503,1.6581129684399434
historical,01108000,5,2,0.2841072600832653,1.9913366470838993,0.5085736831261461,4.899974391976265,2.6326375297482025
historical,01108000,5,3,-7.56788003099655,-4.730060566729756,-2.4386846317657946,-12.128944323818885,1.0300206138027328
historical,01108000,5,4,4.657407183426018,3.753952769461889,6.82199420608036,1.179720780786142,2.5327747588099014
historical,01108000,5,5,0.5501971484172651,1.0201502615438376,3.6638659107155824,-2.5572155820236664,2.389765868706061
historical,01108000,5,6,1.59078378069522,3.8036673692885548,4.180280487102979,-4.459049266667945,1.96490655690958
historical,01108000,5,7,-0.5332641555232841,2.0973555336270056,0.0012512063714750644,3.0515255125149836,2.9797748705909903
historical,01108000,5,8,10.991097249598152,8.796147618995983,9.822303671122906,11.509680583696117,2.2066483828953323
historical,01108000,5,9,5.679058892615629,6.290481739477144,10.718334260616277,2.697017040596645,3.896311596002263
historical,01108000,6,0,7.499147094323446,8.795480308931195,6.013631476348447,6.740081895627702,2.402984105070828
historical,01108000,6,1,-4.351946001269559,-1.591701332034301,-1.0355818067920504,-3.003479187850287,0.9267436146959643
historical,01108000,6,2,6.009377374685426,5.095162585926599,5.362587094390175,7.806943861706663,2.64200511100676
